file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/White,,<class 'numpy.bool'>,"True, False",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/CN,,<class 'numpy.bool'>,"True, False",None,11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/Dementia,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/MCI,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ID,RID,RID,,<class 'numpy.int64'>,None,"5296.0, 3.0",1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2",None,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,VISCODE2,VISCODE,,<class 'str'>,"m12, m60, m24, bl, m84, m48, m72, m36",None,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,DRAWDATE,EXAMDATE,,<class 'str'>,"2006-09-13, 2006-11-28, 2006-09-06, 2006-09-20, 2006-11-10",None,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Education,PHC_Education,EDUCAT,,<class 'numpy.int64'>,None,"20.0, 4.0",1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,,<class 'numpy.float64'>,None,"95.76, 54.76",1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,AB42_RAW,AB42_CSF,,<class 'numpy.float64'>,None,"374.0, 75.3",1242.0,3.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_AB42,AB42_CSF_z,,<class 'numpy.float64'>,None,"2.62575583932457, -2.50491980032413",1242.0,3.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,Tau_RAW,TTAU_CSF,,<class 'numpy.float64'>,None,"330.0, 18.4",1212.0,33.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_Tau,TTAU_CSF_z,,<class 'numpy.float64'>,None,"2.66834693328626, -2.75390285653023",1212.0,33.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,pTau_RAW,PT181_CSF,,<class 'numpy.float64'>,None,"170.0, 6.9",1238.0,7.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_pTau,PT181_CSF_z,,<class 'numpy.float64'>,None,"2.95236525879149, -2.97667099545672",1238.0,7.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ATN_profile,AT_class,AT_profile,,<class 'str'>,"A+T-, A-T-, A+T+, A-T+, nan",None,1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,Platform,METHOD,,<class 'str'>,alzbio3,None,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Other,update_stamp,update_stamp,,<class 'str'>,2025-05-19 11:07:33.0,None,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Tprofile,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Aprofile,,<class 'numpy.float64'>,"1.0, 0.0, nan","1.0, 0.0",1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,TTAU_AB42_CSF,,<class 'numpy.float64'>,None,"3.5844748858447493, 0.0911392405063291",1209.0,36.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,PT181_AB42_CSF,,<class 'numpy.float64'>,None,"1.8781094527363185, 0.0330143540669856",1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Apositive,,<class 'numpy.float64'>,"1.0, 0.0, nan","1.0, 0.0",1242.0,3.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Tpositive,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",1238.0,7.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Npositive,,<class 'numpy.float64'>,"0.0, nan, 1.0","1.0, 0.0",1212.0,33.0,"ADNI3, ADNI4",keep,,,,,
