file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,METHOD,,<class 'str'>,simoa,,130.0,0.0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,Apositive,,<class 'numpy.int64'>,1,"1.0, 1.0",130.0,0.0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,Npositive,,<class 'numpy.int64'>,"1, 0","1.0, 0.0",130.0,0.0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,VISIT_MONTH,,,,,,,,,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,METHOD,,,,,,,,,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,VISIT_MONTH,,,,,,,,,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,METHOD,,,,,,,,,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,VISIT_MONTH,,,,,,,,,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,,METHOD,,,,,,,,,,,,
,FNIH_PLASMA_PTAU_PROJECT,Cohort,PROT,COHORT,,<class 'str'>,"ADNI1, ADNI2, ADNIGO",,130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,RID,RID,,<class 'numpy.int64'>,,"5263.0, 31.0",130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,VISCODE2,VISCODE,,<class 'str'>,"m120, m48, m60, m72, m126",,130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,PTAU_181,PT181_PL,,<class 'numpy.float64'>,,"98.6, 2.64",130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,,VISIT_MONTH,,<class 'numpy.int64'>,"0, 13, 12, 16, 10, 18","18.0, 0.0",130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,,METHOD,,<class 'str'>,"simoa, lumipulse",,130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,,Tpositive,,<class 'numpy.int64'>,0,"0.0, 0.0",130.0,0.0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,,VISIT_MONTH,,,,,,,,,,,,
,FNIH_PLASMA_PTAU_PROJECT,,,METHOD,,,,,,,,,,,,
,CSFALPHASYN,,RID,RID,,<class 'numpy.int64'>,,"1423.0, 3.0",389.0,0.0,pop not found,keep,,,,
,CSFALPHASYN,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,389.0,0.0,pop not found,keep,,,,
,CSFALPHASYN,,PROTOCOL,COHORT,,<class 'str'>,ADNI 1,,389.0,0.0,pop not found,keep,,,,
