file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,Metadati_fattori
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_Tau,PHC_Tau,<class 'numpy.float64'>,,,1212.0,33.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,PHC_Visit,PHC_Visit,<class 'numpy.float64'>,,,1243.0,2.0,"ADNI3, ADNI4",False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_pTau,PHC_pTau,<class 'numpy.float64'>,,,1238.0,7.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,PHC_Diagnosis,DX,<class 'numpy.int64'>,"2, 1, 0",,1245.0,0.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_AB42,PHC_AB42,<class 'numpy.float64'>,,,1242.0,3.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_SCeNS_AB42_Score,PHC_SCeNS_AB42_Score,<class 'numpy.float64'>,,,1236.0,9.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_SCeNS_pTau_Score,PHC_SCeNS_pTau_Score,<class 'numpy.float64'>,,,1236.0,9.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,AT,AT_class,AT_class,<class 'numpy.float64'>,"2.0, 0.0, 3.0, 1.0, nan",,1236.0,9.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,<class 'numpy.float64'>,,,1245.0,0.0,"ADNI3, ADNI4",False,cofattore
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,ID,RID,RID,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,visit,VISCODE,VISCODE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,BIRTHYR,BIRTHYR,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDRGLOB,CDRGLOB,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDRSUM,CDRSUM,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDR_BASELINE,CDR_BASELINE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Other,CORT,CORT,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,CSFDATE,CSFDATE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CSF_CDRSB_BL,CSF_CDRSB_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CSF_CDR_BL,CSF_CDR_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Other,CSF_DATE_BL,CSF_DATE_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,CSF_ELC_AB40,CSF_ELC_AB40,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,CSF_ELC_AB42,CSF_ELC_AB42,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,CSF_ELC_AB4240,CSF_ELC_AB4240,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Tau,CSF_ELC_PTAU,CSF_ELC_PTAU,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Tau,CSF_ELC_TAU,CSF_ELC_TAU,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,APOE,DIAN_APOE,DIAN_APOE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,DIAN_CDRSB_BL,DIAN_CDRSB_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,MMSE,DIAN_MMSE,DIAN_MMSE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,DIAN_YEARS_BL,DIAN_YEARS_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Sex,GENDER,GENDER,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,LAST_VISIT_DATE,LAST_VISIT_DATE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Marry,MARISTAT,MARISTAT,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,MRI_CDRSB_BL,MRI_CDRSB_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,MRI_CDR_BL,MRI_CDR_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,MRI_DATE_BL,MRI_DATE_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,MRI_SCANDATE,MRI_SCANDATE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Volume,MR_TOTT_PRECUNEUS,MR_TOTT_PRECUNEUS,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Volume,MR_TOTV_HIPPOCAMPUS,MR_TOTV_HIPPOCAMPUS,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Volume,MR_TOTV_INTRACRANIAL,MR_TOTV_INTRACRANIAL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Volume,MR_TOTV_WMHYPOINTENSITIES,MR_TOTV_WMHYPOINTENSITIES,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,PET_CDRSB_BL,PET_CDRSB_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,PET_CDR_BL,PET_CDR_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,PET_DATE_BL,PET_DATE_BL,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,PET_SCANDATE,PET_SCANDATE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Other,PET_TYPE,PET_TYPE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_CORTMEAN,PIB_FSUVR_RSF_TOT_CORTMEAN,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_CTX_PRECUNEUS,PIB_FSUVR_RSF_TOT_CTX_PRECUNEUS,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_HIPPOCAMPUS,PIB_FSUVR_RSF_TOT_HIPPOCAMPUS,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_MSUVR_TOT_CORTMEAN,PIB_MSUVR_TOT_CORTMEAN,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_MSUVR_TOT_PRECUNEUS,PIB_MSUVR_TOT_PRECUNEUS,,,,,,,,
