file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,AT,AT_class,AT_class,,,,,,,,keep,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,,,,,,,,keep,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,Visit,VISIT_MONTH,,,,,,,,keep,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,['PHC_Sex'],GENDER/female,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,['PHC_Sex'],GENDER/male,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Ethnicity'],ETHNICITY/latino,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Ethnicity'],ETHNICITY/not_latino,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Asian,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Black,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Native_american,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/White,,,,,,,,keep,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/CN,,,,,,,,keep,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/Dementia,,,,,,,,keep,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/MCI,,,,,,,,keep,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,PTID,PTID,,,,,,,,keep,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Cohort,PHASE,COHORT,,,,,,,,keep,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,RID,RID,,,,,,,,keep,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ADAS,BCADAS,ADAS,,,,,,,,keep,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSE,MMSE,,,,,,,,keep,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSREC,MMSREC,,,,,,,,keep,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCNMMMS,BCNMMMS,,,,,,,,keep,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNEUPSY,BCNEUPSY,,,,,,,,keep,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNONMEM,BCNONMEM,,,,,,,,keep,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,FAQ,BCFAQ,FAQ,,,,,,,,keep,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCDEPRES,BCDEPRES,,,,,,,,keep,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCSTROKE,BCSTROKE,,,,,,,,keep,predittore,
