file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unità,Unnamed: 4
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_CTX_PRECUNEUS,PIB_FSUVR_RSF_TOT_CTX_PRECUNEUS,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_FSUVR_RSF_TOT_HIPPOCAMPUS,PIB_FSUVR_RSF_TOT_HIPPOCAMPUS,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_MSUVR_TOT_CORTMEAN,PIB_MSUVR_TOT_CORTMEAN,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Abeta,PIB_MSUVR_TOT_PRECUNEUS,PIB_MSUVR_TOT_PRECUNEUS,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Ethnicity,RACE,RACE,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,VISITAGE,VISITAGE,,,,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,visit,VISIT_DATE_BL,VISIT_DATE_BL,,,,,,,,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,PTID,PTID,<class 'str'>,"023_S_0030, 023_S_0031, 100_S_0015, 022_S_0007, 011_S_0002",,9125.0,0.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,9125.0,0.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,RID,RID,<class 'numpy.int64'>,,"7121.0, 2.0",9125.0,0.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,EXAMDATE,EXAMDATE,<class 'str'>,"2006-04-13, 2006-10-12, 2007-05-07, 2007-11-13, 2008-11-26",,9124.0,1.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ADAS,BCADAS,ADAS,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9107.0,18.0,,False,predittori,norm_scala,,
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSE,MMSE,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9119.0,6.0,,False,predittori,norm_scala,,
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSREC,MMSREC,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9118.0,7.0,,False,predittori,norm_scala,,
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCNMMMS,BCNMMMS,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9116.0,9.0,,False,predittori,norm_scala,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNEUPSY,BCNEUPSY,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9110.0,15.0,,False,predittori,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNONMEM,BCNONMEM,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9109.0,16.0,,False,predittori,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,FAQ,BCFAQ,FAQ,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9097.0,28.0,,False,predittori,norm_scala,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCDEPRES,BCDEPRES,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",9121.0,4.0,,False,predittori,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCSTROKE,BCSTROKE,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",9124.0,1.0,,False,predittori,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,CDR,BCCDR,CDR,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9075.0,50.0,,False,predittori,norm_scala,,
Diagnostic Summary - Baseline Changes,BLCHANGE,,,VISIT_MONTH,<class 'numpy.float64'>,,"225.0, 0.0",9124.0,1.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,,,DX/CN,<class 'numpy.bool'>,"False, True",,9125.0,0.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,,,DX/Dementia,<class 'numpy.bool'>,"False, True",,9125.0,0.0,,False,,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,,,DX/MCI,<class 'numpy.bool'>,"True, False",,9125.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0008, 100_S_0015, 011_S_0021, 023_S_0031",,1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI4, ADNI3",,1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,ID,RID,RID,<class 'numpy.int64'>,,"7121.0, 2.0",1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,VISDATE,<class 'str'>,"2005-08-17, 2010-09-22, 2011-09-19, 2005-08-29, 2010-09-27",,1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,Age,PTDOB,PTDOB,<class 'str'>,"04/1931, 03/1921, 11/1924, 02/1933, 01/1928",,1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,<class 'numpy.float64'>,,"20.0, 6.0",1901.0,5.0,,False,cofattori,,,
Participant Demographics,PTDEMOG,Age,PTDOBYY,PTDOBYY,<class 'numpy.float64'>,,"1971.0, 1916.0",1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,AGE,<class 'numpy.float64'>,,"104.0, 50.0",1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,,,GENDER/female,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,,,GENDER/male,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,False,,,,
Participant Demographic Information,PTDEMOG,,,MARRY/divorced,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,MARRY/married,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,MARRY/single,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,MARRY/widowed,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,ETHNICITY/latino,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,ETHNICITY/not_latino,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,RACE/Asian,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,RACE/Black,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,RACE/Mixed,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,RACE/Native_american,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,RACE/White,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,False,cofattori,,,
Participant Demographic Information,PTDEMOG,,,VISIT_MONTH,<class 'numpy.float64'>,,"226.0, 0.0",1906.0,0.0,,False,,,,
Mini Mental State Exam,MMSE,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0003, 022_S_0004, 011_S_0005, 100_S_0006",,11135.0,0.0,ADNI4,False,predittori,,,
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3",,11135.0,0.0,ADNI4,False,cofattori,,,
Mini Mental State Exam,MMSE,ID,RID,RID,<class 'numpy.int64'>,,"7088.0, 2.0",11135.0,0.0,ADNI4,False,,,,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSE,<class 'numpy.float64'>,,"30.0, 0.0",11067.0,68.0,ADNI4,False,,norm_scala,,
Mini Mental State Exam,MMSE,,,AGE_bl,<class 'numpy.float64'>,,"91.4, 55.0",11129.0,6.0,ADNI4,False,,,,
Mini Mental State Exam,MMSE,,,VISIT_MONTH,<class 'numpy.int64'>,,"204.0, 0.0",11135.0,0.0,ADNI4,False,,,,
Mini Mental State Exam,MMSE,,,EXAMDATE,<class 'str'>,"2005-09-08, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",,11135.0,0.0,ADNI4,False,,,,
Mini Mental State Exam,MMSE,,,AGE,<class 'numpy.float64'>,,"97.8, 55.0",11129.0,6.0,ADNI4,False,,,,
Mini Mental State Exam,MMSE,,,EDUCAT,<class 'numpy.int64'>,,"20.0, 4.0",11135.0,0.0,ADNI4,False,,,,
Mini Mental State Exam,MMSE,,,APOE4,<class 'numpy.float64'>,"0.0, 1.0, 2.0, nan","2.0, 0.0",10990.0,145.0,ADNI4,False,,,,
