file_name,file_code,parameter,orig_variable_code,variable_code,Unità,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 4
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2",,1245.0,0.0,"ADNI3, ADNI4",False,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Education,PHC_Education,EDUCAT,,<class 'numpy.int64'>,,"20.0, 4.0",1245.0,0.0,"ADNI3, ADNI4",False,cofattore,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,PHC_Ethnicity,ETHNICITY,,<class 'numpy.int64'>,"0, 1, <NA>","1.0, 0.0",1238.0,7.0,"ADNI3, ADNI4",False,cofattore,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,PHC_Race,RACE,,<class 'numpy.float64'>,"5.0, 4.0, 2.0, nan, 1.0, 3.0","5.0, 1.0",1230.0,15.0,"ADNI3, ADNI4",False,cofattore,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,PHC_Sex,GENDER,,<class 'numpy.int64'>,"1, 0","1.0, 0.0",1245.0,0.0,"ADNI3, ADNI4",False,cofattore,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_Tau,PHC_Tau,,<class 'numpy.float64'>,,"2.66834693328626, -2.75390285653023",1212.0,33.0,"ADNI3, ADNI4",False,predittore,intervallo,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,PHC_Visit,PHC_Visit,,<class 'numpy.float64'>,,"10.0, 1.0",1243.0,2.0,"ADNI3, ADNI4",False,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_pTau,PHC_pTau,,<class 'numpy.float64'>,,"2.95236525879149, -2.97667099545672",1238.0,7.0,"ADNI3, ADNI4",False,predittore,intervallo,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,PHC_Diagnosis,DX,,<class 'numpy.int64'>,"2, 1, 0","2.0, 0.0",1245.0,0.0,"ADNI3, ADNI4",False,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_AB42,PHC_AB42,,<class 'numpy.float64'>,,"2.62575583932457, -2.50491980032413",1242.0,3.0,"ADNI3, ADNI4",False,predittore,intervallo,
