file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione
Key ADNI tables merged into one table,ADNIMERGE,Volume,Entorhinal,Entorhinal,,<class 'numpy.float64'>,,"7062.0, 976.0",7488.0,3647.0,ADNI4,True,predittore,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,Fusiform,Fusiform,,<class 'numpy.float64'>,,"29950.0, 7739.0",7488.0,3647.0,ADNI4,True,predittore,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,MidTemp,MidTemp,,<class 'numpy.float64'>,,"32324.0, 8044.0",7488.0,3647.0,ADNI4,True,,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,ICV,ICV,,<class 'numpy.float64'>,,"3500150.0, 716133.0",9023.0,2112.0,ADNI4,True,,
Key ADNI tables merged into one table,ADNIMERGE,Age,Age,AGE_bl,,<class 'numpy.float64'>,,"91.4, 55.0",11129.0,6.0,ADNI4,True,,
Key ADNI tables merged into one table,ADNIMERGE,Visit,Visit,VISIT_MONTH,,<class 'numpy.int64'>,,"204.0, 0.0",11135.0,0.0,ADNI4,True,,
Key ADNI tables merged into one table,ADNIMERGE,Sex,['PTGENDER'],GENDER/female,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Sex,['PTGENDER'],GENDER/male,,<class 'numpy.bool'>,"True, False",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/divorced,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/married,,<class 'numpy.bool'>,"True, False",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/single,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/widowed,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/White,,<class 'numpy.bool'>,"True, False",,11135.0,0.0,ADNI4,True,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/CN,,<class 'numpy.bool'>,"True, False",,11135.0,0.0,ADNI4,True,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/Dementia,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/MCI,,<class 'numpy.bool'>,"False, True",,11135.0,0.0,ADNI4,True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ID,PTID,PTID,,<class 'str'>,"011_S_0003, 022_S_0004, 011_S_0005, 011_S_0008, 011_S_0010",,1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ID,RID,RID,,<class 'numpy.int64'>,,"5296.0, 3.0",1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2",,1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,DRAWDATE,EXAMDATE,,<class 'str'>,"2006-09-13, 2006-11-28, 2006-09-06, 2006-09-20, 2006-11-10",,1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Education,PHC_Education,EDUCAT,,<class 'numpy.int64'>,,"20.0, 4.0",1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_Tau,PHC_Tau,,<class 'numpy.float64'>,,"2.66834693328626, -2.75390285653023",1212.0,33.0,"ADNI3, ADNI4",True,predittore,intervallo
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,PHC_Visit,PHC_Visit,,<class 'numpy.float64'>,,"10.0, 1.0",1243.0,2.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_pTau,PHC_pTau,,<class 'numpy.float64'>,,"2.95236525879149, -2.97667099545672",1238.0,7.0,"ADNI3, ADNI4",True,predittore,intervallo
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_AB42,PHC_AB42,,<class 'numpy.float64'>,,"2.62575583932457, -2.50491980032413",1242.0,3.0,"ADNI3, ADNI4",True,predittore,intervallo
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_SCeNS_AB42_Score,PHC_SCeNS_AB42_Score,,<class 'numpy.float64'>,,"93.9784578531717, -62.6428271053293",1236.0,9.0,"ADNI3, ADNI4",True,predittore,intervallo
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_SCeNS_pTau_Score,PHC_SCeNS_pTau_Score,,<class 'numpy.float64'>,,"93.6386452771735, -100.0",1236.0,9.0,"ADNI3, ADNI4",True,predittore,intervallo
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,AT,AT_class,AT_class,,<class 'numpy.float64'>,"2.0, 0.0, 3.0, 1.0, nan","3.0, 0.0",1236.0,9.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,,<class 'numpy.float64'>,,"95.76, 54.76",1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,Visit,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,['PHC_Sex'],GENDER/female,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,['PHC_Sex'],GENDER/male,,<class 'numpy.bool'>,"True, False",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Ethnicity'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Ethnicity'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Asian,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Black,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/White,,<class 'numpy.bool'>,"True, False",,1245.0,0.0,"ADNI3, ADNI4",True,cofattore,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/CN,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/Dementia,,<class 'numpy.bool'>,"True, False",,1245.0,0.0,"ADNI3, ADNI4",True,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/MCI,,<class 'numpy.bool'>,"False, True",,1245.0,0.0,"ADNI3, ADNI4",True,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,PTID,PTID,,<class 'str'>,"023_S_0030, 023_S_0031, 100_S_0015, 022_S_0007, 011_S_0002",,9125.0,0.0,,True,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,9125.0,0.0,,True,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ID,RID,RID,,<class 'numpy.int64'>,,"7121.0, 2.0",9125.0,0.0,,True,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2006-04-13, 2006-10-12, 2007-05-07, 2007-11-13, 2008-11-26",,9124.0,1.0,,True,,
Diagnostic Summary - Baseline Changes,BLCHANGE,ADAS,BCADAS,ADAS,,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9107.0,18.0,,True,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSE,MMSE,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9119.0,6.0,,True,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSREC,MMSREC,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9118.0,7.0,,True,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCNMMMS,BCNMMMS,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9116.0,9.0,,True,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNEUPSY,BCNEUPSY,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9110.0,15.0,,True,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNONMEM,BCNONMEM,,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9109.0,16.0,,True,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,FAQ,BCFAQ,FAQ,,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9097.0,28.0,,True,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCDEPRES,BCDEPRES,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",9121.0,4.0,,True,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCSTROKE,BCSTROKE,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",9124.0,1.0,,True,predittore,
Diagnostic Summary - Baseline Changes,BLCHANGE,CDR,BCCDR,CDR,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9075.0,50.0,,True,predittore,scala
Diagnostic Summary - Baseline Changes,BLCHANGE,Visit,,VISIT_MONTH,,<class 'numpy.float64'>,,"225.0, 0.0",9124.0,1.0,,True,,
Participant Demographic Information,PTDEMOG,ID,PTID,PTID,,<class 'str'>,"011_S_0002, 022_S_0001, 011_S_0003, 022_S_0004, 011_S_0005",,5983.0,0.0,,True,,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI4, ADNI3",,5983.0,0.0,,True,,
Participant Demographic Information,PTDEMOG,ID,RID,RID,,<class 'numpy.int64'>,,"10898.0, 1.0",5983.0,0.0,,True,,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,VISDATE,,<class 'str'>,"2005-08-17, 2010-09-22, 2011-09-19, 2005-08-18, 2005-08-23",,5980.0,3.0,,True,,
Participant Demographic Information,PTDEMOG,Age,PTDOB,PTDOB,,<class 'str'>,"04/1931, 12/1944, 05/1924, 01/1938, 12/1931",,5980.0,3.0,,True,,
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,,<class 'numpy.float64'>,,"20.0, 3.0",5958.0,25.0,,True,cofattore,
Participant Demographics,PTDEMOG,Age,PTDOBYY,PTDOBYY,,<class 'numpy.float64'>,,"1971.0, 1915.0",5980.0,3.0,,True,,
Participant Demographic Information,PTDEMOG,,,AGE,,<class 'numpy.float64'>,,"104.0, 50.0",5978.0,5.0,,True,,
Participant Demographic Information,PTDEMOG,,,VISIT_MONTH,,<class 'numpy.float64'>,,"226.0, 0.0",5980.0,3.0,,True,,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/female,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/male,,<class 'numpy.bool'>,"True, False",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/divorced,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/married,,<class 'numpy.bool'>,"True, False",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/single,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/widowed,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",,5983.0,0.0,,True,cofattore,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/White,,<class 'numpy.bool'>,"True, False",,5983.0,0.0,,True,cofattore,
Mini Mental State Exam,MMSE,ID,PTID,PTID,,<class 'str'>,"011_S_0002, 011_S_0003, 022_S_0004, 011_S_0005, 022_S_0007",,11848.0,0.0,,True,,
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,11848.0,0.0,,True,,
Mini Mental State Exam,MMSE,ID,RID,RID,,<class 'numpy.int64'>,,"10151.0, 2.0",11848.0,0.0,,True,,
Mini Mental State Exam,MMSE,Visit,VISDATE,VISDATE,,<class 'str'>,"2005-08-17, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",,11845.0,3.0,,True,,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSE,,<class 'numpy.float64'>,,"30.0, -1.0",11848.0,0.0,,True,predittore,scala
Mini Mental State Exam,MMSE,Visit,,VISIT_MONTH,,<class 'numpy.float64'>,,"232.0, 0.0",11845.0,3.0,,True,,
Diagnostic Summary,DXSUM,ID,PTID,PTID,,<class 'str'>,"011_S_0002, 011_S_0005, 011_S_0008, 100_S_0015, 023_S_0031",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Cohort,PHASE,COHORT,,<class 'str'>,ADNI1,,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,ID,RID,RID,,<class 'numpy.int64'>,,"1427.0, 2.0",2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-09-29, 2006-03-06, 2008-08-27, 2005-09-30, 2006-03-09",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Diagnosi,DXCONFID,DXCONFID,,<class 'numpy.float64'>,"4.0, 3.0, 2.0, 1.0","4.0, 1.0",2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Visit,,VISIT_MONTH,,<class 'numpy.int64'>,,"88.0, 0.0",2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Diagnosi,"['DXCONFID', 'DIAGNOSIS']",DX/CN,,<class 'numpy.bool'>,"True, False",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Diagnosi,"['DXCONFID', 'DIAGNOSIS']",DX/Dementia,,<class 'numpy.bool'>,"False, True",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
Diagnostic Summary,DXSUM,Diagnosi,"['DXCONFID', 'DIAGNOSIS']",DX/MCI,,<class 'numpy.bool'>,"False, True",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,ID,RID,RID,,<class 'numpy.int64'>,,"1387.0, 15.0",455.0,0.0,pop not found,False,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-10-31, 2006-05-02, 2006-10-16, 2007-10-11, 2009-04-27",,455.0,0.0,pop not found,False,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Other,STATUS,STATUS,,<class 'str'>,partial,,455.0,0.0,pop not found,False,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST37SV,LVentricle,mm3,<class 'numpy.int64'>,,"83251.0, 3549.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST10CV,ICV,mm3,<class 'numpy.int64'>,,"2062120.0, 1192530.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST24CV,LEntorhinal,mm3,<class 'numpy.int64'>,,"3077.0, 304.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST26CV,LFusiform,mm3,<class 'numpy.int64'>,,"13598.0, 4667.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST29SV,LHippocampus,mm3,<class 'numpy.int64'>,,"4486.0, 1517.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST40CV,LMidTemp,mm3,<class 'numpy.int64'>,,"12406.0, 4857.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST96SV,RVentricle,mm3,<class 'numpy.int64'>,,"61548.0, 3695.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST83CV,REntorhinal,mm3,<class 'numpy.int64'>,,"2887.0, 457.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST85CV,RFusiform,mm3,<class 'numpy.int64'>,,"12136.0, 5447.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST88SV,RHippocampus,mm3,<class 'numpy.int64'>,,"4603.0, 1690.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST99CV,RMidTemp,mm3,<class 'numpy.int64'>,,"14974.0, 5596.0",455.0,0.0,pop not found,False,predittore,volume
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Visit,,VISIT_MONTH,,<class 'numpy.int64'>,,"42.0, 0.0",455.0,0.0,pop not found,False,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,ID,RID,RID,,<class 'numpy.int64'>,None,"5296.0, 21.0",4190.0,0.0,"ADNI1, ADNI3, ADNI4",False,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Cohort,COLPROT,COHORT,,<class 'str'>,"ADNIGO, ADNI2, nv",None,4190.0,0.0,"ADNI1, ADNI3, ADNI4",False,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2010-10-08, 2011-10-13, 2012-10-04, 2013-10-17, 2015-11-03",None,4190.0,0.0,"ADNI1, ADNI3, ADNI4",False,,
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST37SV,LVentricle,mm3,<class 'numpy.int64'>,None,"75680.0, 2726.0",4190.0,0.0,"ADNI1, ADNI3, ADNI4",False,predittore,volume
"UCSF - Cross-Sectional FreeSurfer (5.1) [ADNI1,GO,2]",UCSFFSX51,Volume,ST10CV,ICV,mm3,<class 'numpy.float64'>,None,"2108790.0, 716133.0",4189.0,1.0,"ADNI1, ADNI3, ADNI4",False,predittore,volume
